,author,sample,style_prediction,style_confidence,player_prediction,melody_rating,rhythm_rating,audio_rating,actual_player,original_style,transferred_style,correct_prediction
0,kim13850,52,2,2,4,10,9,1,5,3,2,1
1,kim13850,4,1,1,1,7,10,10,1,1,1,1
2,kim13850,6,2,1,1,10,10,10,1,2,2,1
3,kim13850,49,1,5,5,0,0,0,5,3,1,1
4,kim13850,4,1,1,2,8,8,9,1,1,1,1
5,kim13850,56,3,2,2,10,8,4,5,3,3,1
6,kim13850,32,1,2,5,4,5,3,5,2,1,1
7,kim13850,11,3,1,1,10,10,10,1,3,3,1
8,kim13850,19,1,2,2,9,5,8,5,1,1,1
9,kim13850,23,2,1,5,8,4,3,5,1,2,1
10,ver368,42,2,4,2,4,6,5,5,2,3,0
11,ver368,27,1,4,3,3,4,6,5,1,3,0
12,ver368,6,1,2,4,9,7,6,1,2,2,0
13,ver368,47,3,3,3,4,7,4,5,3,1,0
14,ver368,34,1,2,4,8,6,6,5,2,1,1
15,ver368,23,2,4,3,4,3,2,5,1,2,1
16,ver368,43,3,4,3,5,4,6,5,2,3,1
17,ver368,4,2,2,3,9,7,8,1,1,1,0
18,ver368,3,2,3,3,8,7,8,1,1,1,0
19,ver368,29,1,4,3,7,7,4,5,1,3,0
20,urg10724,43,3,1,4,6,3,5,5,2,3,1
21,urg10724,31,1,2,5,1,3,2,5,2,1,1
22,urg10724,15,1,1,1,8,8,8,5,1,1,1
23,urg10724,7,2,1,2,8,9,8,1,2,2,1
24,urg10724,26,3,2,5,4,3,4,5,1,3,1
25,urg10724,45,1,1,3,5,5,4,5,3,1,1
26,urg10724,24,1,4,4,5,3,1,5,1,2,0
27,urg10724,47,1,1,2,6,7,5,5,3,1,1
28,urg10724,38,2,1,2,9,7,7,5,2,2,1
29,urg10724,29,3,3,3,5,2,2,5,1,3,1
30,sel1224,51,3,4,5,1,1,1,5,3,2,0
31,sel1224,17,1,1,1,7,7,6,5,1,1,1
32,sel1224,45,1,3,4,5,5,5,5,3,1,1
33,sel1224,13,3,1,1,8,8,6,1,3,3,1
34,sel1224,0,1,1,1,7,7,6,1,1,1,1
35,sel1224,52,2,1,4,6,6,4,5,3,2,1
36,sel1224,47,1,1,3,5,5,4,5,3,1,1
37,sel1224,6,2,1,1,7,7,5,1,2,2,1
38,sel1224,53,2,1,5,7,7,5,5,3,2,1
39,sel1224,15,1,1,2,7,7,5,5,1,1,1
40,ink6170,14,2,4,2,9,9,7,1,3,3,0
41,ink6170,7,2,1,4,5,6,7,1,2,2,1
42,ink6170,34,1,1,5,3,2,3,5,2,1,1
43,ink6170,59,3,2,2,9,7,3,0,0,0,0
44,ink6170,34,1,1,5,2,3,2,5,2,1,1
45,ink6170,9,2,1,2,7,8,5,1,2,2,1
46,ink6170,18,1,1,4,4,4,6,5,1,1,1
47,ink6170,23,2,1,5,1,1,3,5,1,2,1
48,ink6170,43,3,2,4,2,2,4,5,2,3,1
49,ink6170,24,2,3,5,1,2,3,5,1,2,1
50,oek3760,17,1,1,2,9,9,7,5,1,1,1
51,oek3760,6,2,1,1,9,9,8,1,2,2,1
52,oek3760,14,3,1,1,9,9,7,1,3,3,1
53,oek3760,20,2,4,5,4,5,4,5,1,2,1
54,oek3760,47,1,2,4,7,7,3,5,3,1,1
55,oek3760,54,2,2,4,5,6,3,5,3,2,1
56,oek3760,49,1,2,5,2,3,2,5,3,1,1
57,oek3760,39,2,1,3,7,7,2,5,2,2,1
58,oek3760,9,2,1,1,9,9,8,1,2,2,1
59,oek3760,2,1,1,1,10,9,8,1,1,1,1
60,sen6791,54,2,2,4,5,3,4,5,3,2,1
61,sen6791,15,1,2,2,7,2,6,5,1,1,1
62,sen6791,13,3,2,2,7,1,6,1,3,3,1
63,sen6791,4,1,2,4,7,2,0,1,1,1,1
64,sen6791,36,2,2,4,5,2,2,5,2,2,1
65,sen6791,12,3,3,3,3,3,2,1,3,3,1
66,sen6791,5,2,2,2,7,1,7,1,2,2,1
67,sen6791,53,3,4,5,2,2,0,5,3,2,0
68,sen6791,16,1,2,4,6,1,3,5,1,1,1
69,sen6791,14,3,2,2,7,1,6,1,3,3,1
70,STA10701,40,3,1,1,10,10,7,5,2,3,1
71,STA10701,34,1,2,5,1,1,4,5,2,1,1
72,STA10701,42,3,2,4,7,6,6,5,2,3,1
73,STA10701,25,3,4,5,6,6,1,5,1,3,1
74,STA10701,17,1,2,3,3,8,5,5,1,1,1
75,STA10701,26,3,2,5,4,3,1,5,1,3,1
76,STA10701,45,1,1,4,5,4,4,5,3,1,1
77,STA10701,44,3,3,3,6,7,1,5,2,3,1
78,STA10701,11,3,1,1,10,10,10,1,3,3,1
79,STA10701,53,2,1,5,5,4,1,5,3,2,1
80,kov5365,23,2,2,3,1,1,1,5,1,2,1
81,kov5365,32,1,1,2,5,8,3,5,2,1,1
82,kov5365,8,2,1,1,10,10,10,1,2,2,1
83,kov5365,35,2,1,2,8,6,4,5,2,2,1
84,kov5365,40,3,2,3,9,7,3,5,2,3,1
85,kov5365,50,2,2,4,4,2,2,5,3,2,1
86,kov5365,45,1,3,3,6,3,4,5,3,1,1
87,kov5365,30,1,3,5,6,3,4,5,2,1,1
88,kov5365,54,2,2,2,7,5,5,5,3,2,1
89,kov5365,14,3,1,1,10,10,5,1,3,3,1
90,ann1755,24,1,4,4,6,4,3,5,1,2,0
91,ann1755,2,1,1,1,8,9,7,1,1,1,1
92,ann1755,43,3,2,4,5,5,4,5,2,3,1
93,ann1755,39,2,2,2,7,7,2,5,2,2,1
94,ann1755,42,3,2,4,4,3,3,5,2,3,1
95,ann1755,21,2,3,4,6,4,3,5,1,2,1
96,ann1755,25,3,4,5,6,3,3,5,1,3,1
97,ann1755,25,3,4,4,5,3,3,5,1,3,1
98,ann1755,10,3,4,1,7,8,5,1,3,3,1
99,ann1755,9,2,2,3,7,4,4,1,2,2,1
100,ift7967,38,2,1,1,9,8,6,5,2,2,1
101,ift7967,59,3,1,1,8,7,5,0,0,0,0
102,ift7967,42,3,2,1,8,8,6,5,2,3,1
103,ift7967,58,3,3,1,7,7,6,5,3,3,1
104,ift7967,33,1,1,4,4,4,3,5,2,1,1
105,ift7967,40,3,1,1,10,10,6,5,2,3,1
106,ift7967,23,2,2,5,1,1,1,5,1,2,1
107,ift7967,58,3,1,2,7,7,5,5,3,3,1
108,ift7967,47,1,2,4,5,3,3,5,3,1,1
109,ift7967,31,1,2,4,6,7,5,5,2,1,1
110,rst1903,5,2,1,1,8,8,8,1,2,2,1
111,rst1903,22,2,1,4,4,3,4,5,1,2,1
112,rst1903,26,3,1,5,3,2,3,5,1,3,1
113,rst1903,42,3,1,1,8,7,8,5,2,3,1
114,rst1903,52,2,1,5,3,1,6,5,3,2,1
115,rst1903,59,3,1,2,7,6,6,0,0,0,0
116,rst1903,38,2,1,2,7,7,3,5,2,2,1
117,rst1903,41,3,1,3,5,5,3,5,2,3,1
118,rst1903,14,3,1,1,9,9,9,1,3,3,1
119,rst1903,58,3,1,1,8,7,8,5,3,3,1
120,ORN2520,29,3,2,1,7,7,5,5,1,3,1
121,ORN2520,10,3,1,1,10,10,10,1,3,3,1
122,ORN2520,37,2,1,2,9,9,8,5,2,2,1
123,ORN2520,43,1,1,4,7,8,7,5,2,3,0
124,ORN2520,18,1,1,1,7,7,7,5,1,1,1
125,ORN2520,22,2,1,4,6,8,6,5,1,2,1
126,ORN2520,48,1,1,5,1,1,5,5,3,1,1
127,ORN2520,10,3,1,1,10,10,10,1,3,3,1
128,ORN2520,24,2,2,4,7,6,6,5,1,2,1
129,ORN2520,27,3,2,4,5,7,6,5,1,3,1
130,agt11973,17,1,2,4,6,6,4,5,1,1,1
131,agt11973,4,1,2,2,7,7,6,1,1,1,1
132,agt11973,14,3,3,4,6,7,5,1,3,3,1
133,agt11973,34,1,2,5,4,6,4,5,2,1,1
134,agt11973,42,3,5,5,3,5,4,5,2,3,1
135,agt11973,49,3,4,5,4,6,4,5,3,1,0
136,agt11973,9,2,1,1,8,7,8,1,2,2,1
137,agt11973,2,1,1,1,8,7,8,1,1,1,1
138,agt11973,30,1,4,5,5,5,4,5,2,1,1
139,agt11973,56,3,4,4,6,6,5,5,3,3,1
140,its2058,24,2,1,4,7,6,5,5,1,2,1
141,its2058,31,1,1,2,7,7,5,5,2,1,1
142,its2058,52,2,1,2,7,7,5,5,3,2,1
143,its2058,54,2,2,4,5,5,5,5,3,2,1
144,its2058,3,1,1,1,9,9,10,1,1,1,1
145,its2058,17,3,2,2,6,7,5,5,1,1,0
146,its2058,37,2,1,2,6,6,5,5,2,2,1
147,its2058,6,2,1,1,9,8,10,1,2,2,1
148,its2058,43,3,2,3,7,7,6,5,2,3,1
149,its2058,26,3,2,4,6,5,5,5,1,3,1
150,ata3832,26,3,2,4,4,8,1,5,1,3,1
151,ata3832,10,3,1,1,10,10,10,1,3,3,1
152,ata3832,38,2,1,1,10,9,2,5,2,2,1
153,ata3832,23,2,3,5,9,9,1,5,1,2,1
154,ata3832,13,3,1,1,10,10,9,1,3,3,1
155,ata3832,44,3,2,4,6,5,4,5,2,3,1
156,ata3832,49,1,1,2,6,6,6,5,3,1,1
157,ata3832,22,2,1,2,10,10,9,5,1,2,1
158,ata3832,9,2,1,1,10,10,9,1,2,2,1
159,ata3832,5,2,1,1,10,10,9,1,2,2,1
160,sen5550,2,1,1,1,9,9,9,1,1,1,1
161,sen5550,56,3,2,2,7,8,5,5,3,3,1
162,sen5550,22,2,4,4,6,4,4,5,1,2,1
163,sen5550,56,3,2,2,7,8,4,5,3,3,1
164,sen5550,2,2,1,1,10,10,10,1,1,1,0
165,sen5550,31,1,2,3,4,5,6,5,2,1,1
166,sen5550,24,1,4,4,2,7,4,5,1,2,0
167,sen5550,29,3,5,4,6,3,5,5,1,3,1
168,sen5550,52,2,2,2,8,7,3,5,3,2,1
169,sen5550,33,1,1,4,2,4,3,5,2,1,1
170,olt5097,29,3,1,4,4,7,5,5,1,3,1
171,olt5097,51,2,4,5,2,3,0,5,3,2,1
172,olt5097,44,1,2,2,7,6,7,5,2,3,0
173,olt5097,7,2,1,1,7,8,9,1,2,2,1
174,olt5097,30,1,1,4,4,7,7,5,2,1,1
175,olt5097,30,1,1,4,4,7,7,5,2,1,1
176,olt5097,57,1,2,4,7,8,6,5,3,3,0
177,olt5097,27,3,4,2,7,7,7,5,1,3,1
178,olt5097,8,2,1,1,7,8,8,1,2,2,1
179,olt5097,51,2,2,5,0,3,0,5,3,2,1
180,ain467,41,3,2,5,4,2,3,5,2,3,1
181,ain467,40,3,2,2,7,6,7,5,2,3,1
182,ain467,14,3,1,1,8,7,8,1,3,3,1
183,ain467,9,2,1,1,10,10,10,1,2,2,1
184,ain467,10,3,1,1,9,10,9,1,3,3,1
185,ain467,47,1,1,5,5,7,10,5,3,1,1
186,ain467,58,3,1,5,7,9,9,5,3,3,1
187,ain467,58,3,1,1,10,9,10,5,3,3,1
188,ain467,35,2,1,5,5,5,8,5,2,2,1
189,ain467,1,1,1,1,10,10,10,1,1,1,1
190,Hub2297,31,1,2,1,7,7,7,5,2,1,1
191,Hub2297,5,2,2,1,8,7,8,1,2,2,1
192,Hub2297,33,1,2,3,6,6,5,5,2,1,1
193,Hub2297,0,1,2,1,8,8,8,1,1,1,1
194,Hub2297,3,1,2,1,8,8,8,1,1,1,1
195,Hub2297,47,1,2,4,5,5,2,5,3,1,1
196,Hub2297,22,2,4,2,6,6,6,5,1,2,1
197,Hub2297,15,1,2,2,7,7,7,5,1,1,1
198,Hub2297,35,2,2,2,6,6,3,5,2,2,1
199,Hub2297,31,1,2,3,4,4,5,5,2,1,1
200,art283,25,3,3,2,7,7,3,5,1,3,1
201,art283,21,2,1,4,5,8,6,5,1,2,1
202,art283,59,3,2,1,8,7,4,0,0,0,0
203,art283,57,3,2,2,7,6,4,5,3,3,1
204,art283,50,2,3,5,3,3,2,5,3,2,1
205,art283,46,1,3,4,2,3,3,5,3,1,1
206,art283,39,2,2,1,8,7,4,5,2,2,1
207,art283,35,2,2,4,5,6,4,5,2,2,1
208,art283,57,3,2,2,7,7,5,5,3,3,1
209,art283,13,3,2,1,8,8,6,1,3,3,1
210,AAS7548,37,2,1,1,9,8,10,5,2,2,1
211,AAS7548,32,1,2,2,8,9,9,5,2,1,1
212,AAS7548,13,3,1,1,9,9,10,1,3,3,1
213,AAS7548,43,3,2,4,5,8,10,5,2,3,1
214,AAS7548,56,3,3,4,7,6,5,5,3,3,1
215,AAS7548,15,1,1,2,6,5,8,5,1,1,1
216,AAS7548,25,3,2,5,4,6,5,5,1,3,1
217,AAS7548,2,1,1,1,10,10,8,1,1,1,1
218,AAS7548,54,2,1,3,5,5,10,5,3,2,1
219,AAS7548,23,2,1,2,7,7,10,5,1,2,1
220,jen5423,21,2,1,4,8,7,8,5,1,2,1
221,jen5423,3,1,1,1,9,9,10,1,1,1,1
222,jen5423,44,3,1,5,7,7,6,5,2,3,1
223,jen5423,36,2,1,2,8,8,8,5,2,2,1
224,jen5423,39,2,1,1,9,9,3,5,2,2,1
225,jen5423,44,3,1,4,6,7,7,5,2,3,1
226,jen5423,30,1,1,4,6,7,5,5,2,1,1
227,jen5423,54,2,1,5,7,5,6,5,3,2,1
228,jen5423,0,1,1,1,9,9,9,1,1,1,1
229,jen5423,13,3,1,1,9,9,9,1,3,3,1
230,ven31213,57,3,1,1,9,9,9,5,3,3,1
231,ven31213,23,2,1,4,3,6,5,5,1,2,1
232,ven31213,3,1,1,1,9,9,8,1,1,1,1
233,ven31213,41,3,2,4,5,6,4,5,2,3,1
234,ven31213,18,1,1,4,6,7,4,5,1,1,1
235,ven31213,32,1,1,5,4,6,1,5,2,1,1
236,ven31213,49,1,1,5,1,1,1,5,3,1,1
237,ven31213,26,3,3,4,6,7,2,5,1,3,1
238,ven31213,25,1,2,5,3,5,2,5,1,3,0
239,ven31213,10,3,1,1,10,10,10,1,3,3,1
240,ans4845,24,2,2,1,6,6,5,5,1,2,1
241,ans4845,12,3,1,5,9,8,8,1,3,3,1
242,ans4845,37,2,1,1,7,7,6,5,2,2,1
243,ans4845,48,1,1,1,3,2,2,5,3,1,1
244,ans4845,5,2,1,1,10,9,10,1,2,2,1
245,ans4845,25,1,1,5,5,5,5,5,1,3,0
246,ans4845,44,3,1,5,6,3,4,5,2,3,1
247,ans4845,13,3,1,1,10,10,8,1,3,3,1
248,ans4845,58,3,1,3,8,7,7,5,3,3,1
249,ans4845,1,1,1,1,10,10,10,1,1,1,1
250,len7701,50,2,5,5,4,2,7,5,3,2,1
251,len7701,41,3,2,4,4,4,6,5,2,3,1
252,len7701,9,2,1,2,9,8,9,1,2,2,1
253,len7701,20,2,3,5,3,2,5,5,1,2,1
254,len7701,16,1,1,3,5,4,6,5,1,1,1
255,len7701,35,2,4,5,5,2,4,5,2,2,1
256,len7701,22,2,4,5,4,3,3,5,1,2,1
257,len7701,33,1,1,3,3,2,3,5,2,1,1
258,len7701,7,2,1,2,8,6,9,1,2,2,1
259,len7701,10,3,1,1,10,9,10,1,3,3,1
260,Som9k3515,7,2,1,1,7,8,8,1,2,2,1
261,Som9k3515,59,3,1,2,7,8,6,0,0,0,0
262,Som9k3515,53,2,1,2,8,9,4,5,3,2,1
263,Som9k3515,53,2,1,4,6,7,3,5,3,2,1
264,Som9k3515,23,2,4,3,5,5,3,5,1,2,1
265,Som9k3515,5,2,1,1,9,9,8,1,2,2,1
266,Som9k3515,3,1,1,2,7,7,7,1,1,1,1
267,Som9k3515,33,1,1,2,6,6,7,5,2,1,1
268,Som9k3515,40,3,1,3,6,7,7,5,2,3,1
269,Som9k3515,35,2,1,1,7,8,8,5,2,2,1
270,llo1725,2,1,1,1,8,8,7,1,1,1,1
271,llo1725,54,2,2,5,3,4,3,5,3,2,1
272,llo1725,50,2,1,5,1,1,1,5,3,2,1
273,llo1725,59,3,1,2,6,7,5,0,0,0,0
274,llo1725,34,1,1,4,2,1,2,5,2,1,1
275,llo1725,23,2,1,4,2,1,3,5,1,2,1
276,llo1725,8,2,1,2,7,6,8,1,2,2,1
277,llo1725,44,3,1,4,3,4,4,5,2,3,1
278,llo1725,31,1,2,4,4,6,3,5,2,1,1
279,llo1725,32,1,1,4,2,4,3,5,2,1,1
280,ngs1382,12,3,1,1,8,8,9,1,3,3,1
281,ngs1382,39,2,1,2,6,6,6,5,2,2,1
282,ngs1382,2,1,1,1,8,8,8,1,1,1,1
283,ngs1382,42,3,1,2,7,6,6,5,2,3,1
284,ngs1382,27,3,1,3,4,4,4,5,1,3,1
285,ngs1382,51,1,2,3,5,5,5,5,3,2,0
286,ngs1382,35,2,1,4,4,4,4,5,2,2,1
287,ngs1382,48,1,1,4,3,3,3,5,3,1,1
288,ngs1382,28,1,2,4,5,5,5,5,1,3,0
289,ngs1382,18,1,1,2,7,7,5,5,1,1,1
290,Ich1966,50,2,2,2,5,5,4,5,3,2,1
291,Ich1966,7,2,1,2,8,7,6,1,2,2,1
292,Ich1966,52,2,1,2,9,9,7,5,3,2,1
293,Ich1966,26,3,2,4,1,3,2,5,1,3,1
294,Ich1966,13,3,1,2,9,9,7,1,3,3,1
295,Ich1966,17,1,1,2,5,5,4,5,1,1,1
296,Ich1966,42,3,2,2,7,6,4,5,2,3,1
297,Ich1966,2,1,1,1,9,9,7,1,1,1,1
298,Ich1966,58,3,2,3,5,5,4,5,3,3,1
299,Ich1966,28,3,2,4,1,3,2,5,1,3,1
300,GEN24,29,3,2,5,2,6,5,5,1,3,1
301,GEN24,59,3,5,4,7,4,6,0,0,0,0
302,GEN24,40,3,4,2,8,4,7,5,2,3,1
303,GEN24,33,1,1,2,7,7,4,5,2,1,1
304,GEN24,30,1,3,2,4,4,5,5,2,1,1
305,GEN24,13,3,1,1,10,9,9,1,3,3,1
306,GEN24,28,3,5,3,4,3,2,5,1,3,1
307,GEN24,3,1,2,1,9,10,9,1,1,1,1
308,GEN24,32,1,3,4,5,6,1,5,2,1,1
309,GEN24,5,2,1,1,10,10,10,1,2,2,1
310,ska21305,44,1,2,2,7,7,1,5,2,3,0
311,ska21305,53,2,1,1,9,9,2,5,3,2,1
312,ska21305,10,3,1,1,9,9,6,1,3,3,1
313,ska21305,57,1,1,2,8,8,4,5,3,3,0
314,ska21305,12,2,3,3,8,8,1,1,3,3,0
315,ska21305,19,1,1,2,6,6,2,5,1,1,1
316,ska21305,30,1,1,2,6,5,1,5,2,1,1
317,ska21305,12,1,1,2,8,8,4,1,3,3,0
318,ska21305,37,2,1,2,7,7,3,5,2,2,1
319,ska21305,50,2,2,3,8,8,2,5,3,2,1
320,aiz7788,9,2,1,1,9,9,8,1,2,2,1
321,aiz7788,59,3,1,1,10,10,10,0,0,0,0
322,aiz7788,40,3,1,1,9,9,9,5,2,3,1
323,aiz7788,30,1,2,2,6,6,5,5,2,1,1
324,aiz7788,50,2,1,3,6,6,7,5,3,2,1
325,aiz7788,21,2,1,1,8,8,8,5,1,2,1
326,aiz7788,7,2,1,1,9,9,10,1,2,2,1
327,aiz7788,20,2,1,1,7,7,6,5,1,2,1
328,aiz7788,1,1,2,2,7,7,7,1,1,1,1
329,aiz7788,35,2,1,2,7,7,6,5,2,2,1
330,Sir1514,23,2,1,2,7,7,3,5,1,2,1
331,Sir1514,47,1,1,2,7,6,3,5,3,1,1
332,Sir1514,54,2,1,1,6,8,5,5,3,2,1
333,Sir1514,13,3,1,1,8,8,7,1,3,3,1
334,Sir1514,43,1,4,2,8,7,4,5,2,3,0
335,Sir1514,54,2,1,1,8,8,7,5,3,2,1
336,Sir1514,52,2,1,1,8,7,6,5,3,2,1
337,Sir1514,33,1,1,4,6,5,4,5,2,1,1
338,Sir1514,28,3,2,4,7,6,3,5,1,3,1
339,Sir1514,16,1,1,2,8,9,3,5,1,1,1
340,eto0866,28,3,2,2,5,6,1,5,1,3,1
341,eto0866,22,2,2,2,6,5,1,5,1,2,1
342,eto0866,33,1,2,2,7,6,3,5,2,1,1
343,eto0866,29,3,2,2,5,7,1,5,1,3,1
344,eto0866,42,3,2,2,8,8,2,5,2,3,1
345,eto0866,58,3,2,2,8,8,6,5,3,3,1
346,eto0866,8,2,2,1,10,10,8,1,2,2,1
347,eto0866,16,1,2,1,8,8,7,5,1,1,1
348,eto0866,36,2,1,2,9,9,8,5,2,2,1
349,eto0866,38,2,1,2,8,8,6,5,2,2,1
350,oca1764,39,2,1,2,10,9,7,5,2,2,1
351,oca1764,12,3,1,1,10,10,8,1,3,3,1
352,oca1764,15,1,1,1,9,9,8,5,1,1,1
353,oca1764,50,2,4,5,7,9,7,5,3,2,1
354,oca1764,59,3,1,2,10,7,6,0,0,0,0
355,oca1764,25,3,1,4,4,8,3,5,1,3,1
356,oca1764,0,1,1,1,8,9,8,1,1,1,1
357,oca1764,16,1,1,2,8,7,6,5,1,1,1
358,oca1764,30,1,1,4,3,4,4,5,2,1,1
359,oca1764,37,2,1,2,8,7,9,5,2,2,1
360,una549,59,3,1,1,9,9,7,0,0,0,0
361,una549,10,3,1,1,9,9,8,1,3,3,1
362,una549,40,3,1,2,8,9,4,5,2,3,1
363,una549,11,3,1,1,9,9,7,1,3,3,1
364,una549,56,3,1,1,9,8,7,5,3,3,1
365,una549,46,1,1,1,8,8,6,5,3,1,1
366,una549,48,1,1,2,7,8,5,5,3,1,1
367,una549,44,2,1,4,3,5,1,5,2,3,0
368,una549,42,3,1,4,5,5,1,5,2,3,1
369,una549,5,2,1,1,10,10,10,1,2,2,1
370,hez1513,37,2,1,2,9,10,6,5,2,2,1
371,hez1513,14,3,1,1,10,10,9,1,3,3,1
372,hez1513,27,3,1,4,7,6,2,5,1,3,1
373,hez1513,12,3,1,2,8,9,4,1,3,3,1
374,hez1513,54,2,4,5,5,9,3,5,3,2,1
375,hez1513,7,2,1,1,10,10,7,1,2,2,1
376,hez1513,33,1,1,5,5,9,7,5,2,1,1
377,hez1513,22,2,4,5,7,9,5,5,1,2,1
378,hez1513,4,1,1,1,10,10,7,1,1,1,1
379,hez1513,45,1,2,5,4,7,4,5,3,1,1
380,zen7700,10,3,1,1,10,10,6,1,3,3,1
381,zen7700,59,3,1,1,7,7,4,0,0,0,0
382,zen7700,17,1,1,1,8,7,3,5,1,1,1
383,zen7700,48,3,2,4,1,2,1,5,3,1,0
384,zen7700,1,1,1,1,10,10,5,1,1,1,1
385,zen7700,9,2,1,3,8,8,6,1,2,2,1
386,zen7700,42,3,1,3,1,1,1,5,2,3,1
387,zen7700,26,3,1,3,0,0,0,5,1,3,1
388,zen7700,9,2,1,3,8,8,5,1,2,2,1
389,zen7700,18,1,1,2,3,3,2,5,1,1,1
390,gar2415,11,3,1,2,9,9,10,1,3,3,1
391,gar2415,13,3,1,2,10,10,10,1,3,3,1
392,gar2415,50,2,1,5,2,3,1,5,3,2,1
393,gar2415,29,3,2,5,1,1,1,5,1,3,1
394,gar2415,31,1,2,5,1,2,1,5,2,1,1
395,gar2415,57,3,2,4,3,8,1,5,3,3,1
396,gar2415,58,3,2,3,6,6,5,5,3,3,1
397,gar2415,37,2,1,2,7,6,7,5,2,2,1
398,gar2415,1,1,2,1,10,10,10,1,1,1,1
399,gar2415,8,2,2,2,9,9,9,1,2,2,1
400,cia6546,8,2,1,1,9,9,9,1,2,2,1
401,cia6546,44,3,2,4,5,8,3,5,2,3,1
402,cia6546,18,1,2,2,8,8,7,5,1,1,1
403,cia6546,6,2,2,2,9,9,9,1,2,2,1
404,cia6546,51,3,3,3,4,4,4,5,3,2,0
405,cia6546,56,3,3,4,8,8,5,5,3,3,1
406,cia6546,1,1,1,1,10,10,10,1,1,1,1
407,cia6546,25,3,3,4,6,7,4,5,1,3,1
408,cia6546,50,2,2,3,8,8,5,5,3,2,1
409,cia6546,57,1,5,3,5,5,5,5,3,3,0
